Key,Source,Context,English
resourceRepairKit,items,Item,Iron Repair Kit
resourceRepairKitDesc,items,Item,"Iron Repair Kits are used to repair various items."
resourceIceburgSteelToolRepairKit,items,Item,Steel Tool Repair Kit
resourceIceburgSteelToolRepairKitDesc,items,Item,"Steel Tool Repair Kits are used to repair all Steel Tools."
resourceIceburgMotorRepairKit,items,Item,Motor Repair Kit
resourceIceburgMotorRepairKitDesc,items,Item,"Motor Repair Kits are used to repair all tools that have a motor on them and the Generic Motor"
resourceIceburgPistolRepairKit,items,Item,Pistol Repair Kit
resourceIceburgPistolRepairKitDesc,items,Item,"Pistol Repair Kits are used to repair the Pistol, Magnum 44, SMG, and Desert Vulture."
resourceIceburgShotgunRepairKit,items,Item,Shotgun Repair Kit
resourceIceburgShotgunRepairKitDesc,items,Item,"Shotgun Repair Kits are used to repair the Double Barrel, Pump, and Auto shotguns."
resourceIceburgRifleRepairKit,items,Item,Rifle Repair Kit
resourceIceburgRifleRepairKitDesc,items,Item,"Rifle Repair Kits are used to repair the Hunting, Marksman, and Sniper rifles."
resourceIceburgMachineGunRepairKit,items,Item,Machine Gun Repair Kit
resourceIceburgMachineGunRepairKitDesc,items,Item,"Machine Gun Repair Kits are used to repair the AK-47, Tactical AR, and M60."
resourceIceburgBowRepairKit,items,Item,Bow Repair Kit
resourceIceburgBowRepairKitDesc,items,Item,"Machine Gun Repair Kits are used to repair the Wooden Bow, Compound Bow, Iron Crossbow, and Compound Crossbow."
resourceIceburgNonmetalArmorRepairKit,items,Item,Nonmetal Armor Repair Kit
resourceIceburgNonmetalArmorRepairKitDesc,items,Item,"Non-metal Armor Repair Kits are used to repair all Cloth and Leather armor."
resourceIceburgMetalArmorRepairKit,items,Item,Metal Armor Repair Kit
resourceIceburgMetalArmorRepairKitDesc,items,Item,"Metal Armor Repair Kits are used to repair both Iron and Steel armor."
resourceIceburgMilitaryArmorRepairKit,items,Item,Military Armor Repair Kit
resourceIceburgMilitaryArmorRepairKitDesc,items,Item,"Military Armor Repair Kits are used to repair all types of Military Armor."

armorClothGroupDesc,items,Clothes,"Light armor will encumber you a little and provides some protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Nonmetal Armor Repair Kit.\nScrap to cloth."
armorHeavyGroupDesc,items,Clothes,"Heavy armor will encumber you but provides good protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Metal Armor Repair Kit.\nScrap to Iron."
armorLeatherGroupDesc,items,Clothes,"Light armor will encumber you a little and provides some protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Nonmetal Armor Repair Kit.\nScrap to leather."
armorMilitaryGroupDesc,items,Clothes,"Light armor will encumber you a little and provides some protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Military Armor Repair Kit.\nScrap to military armor parts."
armorMilitaryStealthBootsDesc,items,Clothes,"These military stealth boots have no stamina use penalty and muffle noise from movement.\n\nRepair with a Military Armor Repair Kit.\nScrap to military armor parts.."
armorScrapDesc,items,Clothes,"Heavy armor will encumber you but provides good protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Metal Armor Repair Kit.\nScrap to Iron."
armorSteelGroupDesc,items,Clothes,"Heavy armor will encumber you but provides good protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Metal Armor Repair Kit.\nScrap to steel armor parts."

meleeWpnClubT3SteelClubDesc,items,Melee,"Steel clubs are very durable and hard-hitting.\n\nRepair with Steel Club Parts.\nScrap to Steel Club Parts."
meleeWpnKnucklesT3SteelKnucklesDesc,items,Melee,"Protect your hands and put some weight into those swings. These blades can also be useful for gutting animals.\n\nRepair with Steel Knuckles parts.\nScrap to Steel Knuckles parts."
meleeWpnSledgeT3SteelSledgehammerDesc,items,Melee,"The sledgehammer is one of the best weapons for cracking skulls.\n\nRepair with Steel Sledgehammer parts.\nScrap to Steel Sledgehammer parts."
meleeWpnSpearT3SteelSpearDesc,items,Melee,"Spears have more range than other weapons and can also be thrown.\n\nRepair with Steel Spear parts.\nScrap to Steel Spear parts."
meleeWpnBladeT3MacheteDesc,items,Melee,"Great for chopping zombies and sometimes trees and gutting animals for meat.\nRegular attacks cause 1 Bleeding Wound and power attacks at least 2.\nRepair with Machete parts.\nScrap to Machete parts."
meleeWpnBatonT2StunBatonDesc,items,Melee,"Goes zap.\n\nRepair with Stun Baton parts.\nScrap to Stun Baton parts."

gunHandgunT1PistolDesc,items,Gun,"A basic pistol that uses 9mm ammo.\n\nRepair with a Pistol Repair Kit.\nScrap to Handgun Parts."
gunHandgunT2Magnum44Desc,items,Gun,"The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\n\nRepair with a Pistol Repair Kit.\nScrap to Handgun Parts."
gunHandgunT3DesertVultureDesc,items,Gun,"This heavy pistol uses .44 Magnum ammo.\n\nRepair with a Pistol Repair Kit.\nScrap to Handgun Parts."
gunHandgunT3SMG5Desc,items,Gun,"This submachine gun uses 9mm ammo.\n\nRepair with a Pistol Repair Kit.\nScrap to Handgun Parts."

gunMGT1AK47Desc,items,Gun,"This badass AK-47 Machine Gun uses 7.62mm ammo.\n\nRepair with a Machine Gun Repair Kit.\nScrap to Machine Gun Parts."
gunMGT2TacticalARDesc,items,Gun,"This Tactical Assault Rifle uses 7.62mm ammo.\n\nRepair with a Machine Gun Repair Kit.\nScrap to Machine Gun Parts."
gunMGT3M60Desc,items,Gun,"Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses 7.62mm ammo.\n\nRepair with a Machine Gun Repair Kit.\nScrap to Machine Gun Parts."

gunRifleT1HuntingRifleDesc,items,Gun,"This common farmer's hunting rifle uses 7.62mm ammo.\n\nRepair with a Rifle Repair Kit.\nScrap to Rifle parts."
gunRifleT2MarksmanRifleDesc,items,Gun,"This marksman's rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\n\nRepair with a Rifle Repair Kit.\nScrap to Rifle parts."
gunRifleT3SniperRifleDesc,items,Gun,"This high precision, long ranged rifle is perfect for sniping enemies at great distances.\n\nRepair with a Rifle Repair Kit.\nScrap to Rifle parts."

gunShotgunT1DoubleBarrelDesc,items,Gun,"A rusty old double barrel shotgun, great for close range carnage.\n\nRepair with a Shotgun Repair Kit.\nScrap to Shotgun Parts."
gunShotgunT2PumpShotgunDesc,items,Gun,"A long-barreled shotgun with pump action loading .\n\nRepair with a Shotgun Repair Kit.\nScrap to Shotgun Parts."
gunShotgunT3AutoShotgunDesc,items,Gun,"This semi automatic shotgun is a rare and devasting short range weapon capable of making minced meat out of anything in its path.\n\nRepair with a Shotgun Repair Kit.\nScrap to Shotgun Parts."

gunBowT1IronCrossbowDesc,items,Gun,"A crossbow is slow to reload but does more damage than a bow.\nThis weapon can be fired underwater.\nHold reload to use alternate ammo.\nRepair with a Bow Repair Kit.\nScrap to Bow / Crossbow Parts."
gunBowT1WoodenBowDesc,items,Gun,"Good for hunting and killing zombies. Uses arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with a Bow Repair Kit.\nScrap to Bow / Crossbow Parts."
gunBowT3CompoundBowDesc,items,Gun,"A compound bow does more damage and arrows fly straighter which makes it easier to aim.\n\nRepair with a Bow Repair Kit.\nScrap to Bow / Crossbow Parts."
gunBowT3CompoundCrossbowDesc,items,Gun,"A compound crossbow is slow to reload but does more damage than a crossbow.\nThis weapon can be fired underwater.\nHold reload to use alternate ammo.\nRepair with a Bow Repair Kit.\nScrap to Bow / Crossbow Parts."

gunExplosivesT3RocketLauncherDesc,items,Gun,"A Rocket Launcher shoots rocket propelled grenades.\n\nRepair with Rocket Launcher parts.\nScrap to Rocket Launcher parts."

meleeToolAxeT2SteelAxeDesc,items,Tool,"The steel axe has a durable blade and is great for harvesting wood.\n\nRepair with a Steel Repair Kit.\nScrap to Steel Tool parts."
meleeToolPickT2SteelPickaxeDesc,items,Tool,"The steel pickaxe is best for breaking stone and harvesting minerals.\n\nRepair with a Steel Repair Kit.\nScrap to Steel Tool parts."
meleeToolRepairT3NailgunDesc,items,Tool,"The nail gun is the best tool for repairing and upgrading base walls and not a bad weapon to boot if you have nails.\n\nRepair with a Steel Repair Kit.\nScrap to Mechanical parts."
meleeToolShovelT2SteelShovelDesc,items,Tool,"The steel shovel is very durable and the ideal tool for digging through earth, sand or snow.\n\nRepair with a Steel Repair Kit.\nScrap to Steel Tool parts."
meleeToolSalvageT2RatchetDesc,items,Tool,"Great for disassembling mechanical devices like cars, air conditioners and more.\n\nRepair with a Steel Repair Kit.\nScrap to Steel Tool Parts."

meleeToolSalvageT3ImpactDriverDesc,items,Tool,"Great for disassembling mechanical devices like cars, air conditioners and more.\n\nRepair with a Motor Repair Kit.\nScrap to Motor Tool Parts."
meleeToolAxeT3ChainsawDesc,items,Tool,"Chop down the biggest trees or zombies faster than Paul Bunyan with this great chainsaw that uses gasoline for fuel.\n\nRepair with a Motor Repair Kit.\nScrap to Motor Tool Parts."
meleeToolPickT3AugerDesc,items,Tool,"Rock out with your auger out and be the envy of every miner when they see you sporting this sexy gas-powered auger.\n\nRepair with a Motor Repair Kit.\nScrap to Motor Tool Parts."
smallEngineDesc,items,Tool,"A common part for a vehicles or generators.\n\nRepair with a Motor Repair Kit."

gunBotT1JunkSledgeDesc,items,Gun,"You may not be good at punching but you have the technology.\nYou can also deploy this on the ground using the Secondary action.\nRepair with Robotic Parts.\nScrap to Robotics Parts."
gunBotT2JunkTurretDesc,items,Gun,"This contraption can be fired and reloaded like a gun. It uses Robotic Turret Ammo for ammunition.\nYou can also deploy it on the ground using the Secondary action.\nRepair with a Robotics Parts.\nScrap to Robotics Parts."
gunBotT3JunkDroneDesc,items,Gun,"Crafted from robotic parts and scrap, the robotic drone is the ultimate companion in the apocalypse. It can heal you and carry some items.\nRepair with Robotic Parts.\nScrap to Robotics Parts."
